"ticker","type_stock","date_approval","value_cash","ratio","corporate_action","last_date_prior_ex","date_closing_price_prior_ex_date","closing_price_prior_ex_date","quoted_per_shares","corporate_action_price","last_date_time_prior_ex"
"AALR3","ON","2019-04-24","0,08453882885","1,0","DIVIDENDO","2019-04-25","2019-04-25","14,98","1,0","0,564345","2019-04-25T00:00:00"
"AALR3","ON","2020-04-27","0,08729755405","1,0","DIVIDENDO","2020-04-27","2020-04-27","10,63","1,0","0,821238","2020-04-27T00:00:00"
"ABCB4","PN","2015-06-26","0,40200657","1,0","JRS CAP PROPRIO","2015-06-30","2015-06-30","11,7","1,0","3,435954","2015-06-30T00:00:00"
"ABCB4","PN","2015-12-28","0,463003582","1,0","JRS CAP PROPRIO","2015-12-30","2015-12-30","8,73","1,0","5,303592","2015-12-30T00:00:00"
"ABCB4","PN","2016-06-27","0,548","1,0","JRS CAP PROPRIO","2016-06-30","2016-06-30","13,07","1,0","4,192808","2016-06-30T00:00:00"
"ABCB4","PN","2016-12-26","0,539","1,0","JRS CAP PROPRIO","2016-12-29","2016-12-29","13,93","1,0","3,869347","2016-12-29T00:00:00"
"ABCB4","PN","2017-06-27","0,554","1,0","JRS CAP PROPRIO","2017-06-30","2017-06-30","16,79","1,0","3,299583","2017-06-30T00:00:00"
"ABCB4","PN","2017-12-22","0,532","1,0","JRS CAP PROPRIO","2017-12-28","2017-12-28","17,18","1,0","3,096624","2017-12-28T00:00:00"
"ABCB4","PN","2018-06-26","0,54","1,0","JRS CAP PROPRIO","2018-06-29","2018-06-29","15,07","1,0","3,583278","2018-06-29T00:00:00"
"ABCB4","PN","2018-12-21","0,539","1,0","JRS CAP PROPRIO","2018-12-28","2018-12-28","16,88","1,0","3,193128","2018-12-28T00:00:00"
"ABCB4","PN","2019-06-28","0,559","1,0","JRS CAP PROPRIO","2019-07-04","2019-07-04","19,35","1,0","2,888889","2019-07-04T00:00:00"
"ABCB4","PN","2019-12-20","0,491","1,0","JRS CAP PROPRIO","2019-12-30","2019-12-30","20,19","1,0","2,431897","2019-12-30T00:00:00"
"ABCB4","PN","2020-08-07","0,158672758","1,0","JRS CAP PROPRIO","2020-08-12","2020-08-12","13,95","1,0","1,137439","2020-08-12T00:00:00"
"ABCB4","PN","2020-12-30","0,338164306","1,0","JRS CAP PROPRIO","2021-01-06","2021-01-06","16,14","1,0","2,095194","2021-01-06T00:00:00"
"ABCB4","PN","2021-03-25","0,213","1,0","JRS CAP PROPRIO","2021-03-31","2021-03-31","14,5","1,0","1,468966","2021-03-31T00:00:00"
"ABCB4","PN","2021-06-24","0,219","1,0","JRS CAP PROPRIO","2021-06-30","2021-06-30","15,88","1,0","1,379093","2021-06-30T00:00:00"
"ABCB4","PN","2021-09-30","0,232","1,0","JRS CAP PROPRIO","2021-10-06","2021-10-06","15,25","1,0","1,521311","2021-10-06T00:00:00"
"ABCB4","PN","2021-12-24","0,252","1,0","JRS CAP PROPRIO","2021-12-30","2021-12-30","15,87","1,0","1,587902","2021-12-30T00:00:00"
"ABCB4","PN","2022-03-28","0,313","1,0","JRS CAP PROPRIO","2022-03-31","2022-03-31","17,23","1,0","1,816599","2022-03-31T00:00:00"
"ABCB4","PN","2022-06-24","0,352","1,0","JRS CAP PROPRIO","2022-06-30","2022-06-30","15,52","1,0","2,268041","2022-06-30T00:00:00"
"ABCB4","PN","2022-09-26","0,362","1,0","JRS CAP PROPRIO","2022-09-30","2022-09-30","20,9","1,0","1,732057","2022-09-30T00:00:00"
"ABCB4","PN","2022-12-26","0,37","1,0","JRS CAP PROPRIO","2022-12-29","2022-12-29","19,64","1,0","1,88391","2022-12-29T00:00:00"
"ABCB4","PN","2023-06-26","0,836","1,0","JRS CAP PROPRIO","2023-06-30","2023-06-30","19,07","1,0","4,383849","2023-06-30T00:00:00"
"ABEV3","ON","2014-12-31","0,096","1,0","JRS CAP PROPRIO","2015-01-07","2015-01-07","16,51","1,0","0,581466","2015-01-07T00:00:00"
"ABEV3","ON","2015-02-23","0,06","1,0","JRS CAP PROPRIO","2015-02-27","2015-02-27","18,34","1,0","0,327154","2015-02-27T00:00:00"
"ABEV3","ON","2015-02-23","0,03","1,0","JRS CAP PROPRIO","2015-02-27","2015-02-27","18,34","1,0","0,163577","2015-02-27T00:00:00"
"ABEV3","ON","2015-05-13","0,1","1,0","JRS CAP PROPRIO","2015-06-01","2015-06-01","18,53","1,0","0,539665","2015-06-01T00:00:00"
"ABEV3","ON","2015-08-28","0,15","1,0","DIVIDENDO","2015-09-08","2015-09-08","19,61","1,0","0,764916","2015-09-08T00:00:00"
"ABEV3","ON","2015-12-01","0,15","1,0","JRS CAP PROPRIO","2015-12-21","2015-12-21","18,0","1,0","0,833333","2015-12-21T00:00:00"
"ABEV3","ON","2016-01-15","0,13","1,0","JRS CAP PROPRIO","2016-01-29","2016-01-29","18,66","1,0","0,696677","2016-01-29T00:00:00"
"ABEV3","ON","2016-06-24","0,13","1,0","DIVIDENDO","2016-07-11","2016-07-11","19,4","1,0","0,670103","2016-07-11T00:00:00"
"ABEV3","ON","2016-10-19","0,16","1,0","DIVIDENDO","2016-10-31","2016-10-31","18,83","1,0","0,849708","2016-10-31T00:00:00"
"ABEV3","ON","2016-12-01","0,22","1,0","JRS CAP PROPRIO","2016-12-21","2016-12-21","16,34","1,0","1,346389","2016-12-21T00:00:00"
"ABEV3","ON","2016-12-22","0,07","1,0","DIVIDENDO","2017-01-23","2017-01-23","17,34","1,0","0,403691","2017-01-23T00:00:00"
"ABEV3","ON","2017-05-16","0,16","1,0","DIVIDENDO","2017-06-23","2017-06-23","18,24","1,0","0,877193","2017-06-23T00:00:00"
"ABEV3","ON","2017-12-01","0,31","1,0","JRS CAP PROPRIO","2017-12-18","2017-12-18","20,91","1,0","1,482544","2017-12-18T00:00:00"
"ABEV3","ON","2017-12-21","0,07","1,0","DIVIDENDO","2018-01-31","2018-01-31","21,95","1,0","0,318907","2018-01-31T00:00:00"
"ABEV3","ON","2018-05-15","0,16","1,0","DIVIDENDO","2018-06-15","2018-06-15","18,72","1,0","0,854701","2018-06-15T00:00:00"
"ABEV3","ON","2018-12-03","0,32","1,0","JRS CAP PROPRIO","2018-12-18","2018-12-18","15,88","1,0","2,015113","2018-12-18T00:00:00"
"ABEV3","ON","2019-12-02","0,4906","1,0","JRS CAP PROPRIO","2019-12-19","2019-12-19","19,17","1,0","2,559207","2019-12-19T00:00:00"
"ABEV3","ON","2020-12-09","0,4137","1,0","JRS CAP PROPRIO","2020-12-17","2020-12-17","16,06","1,0","2,575965","2020-12-17T00:00:00"
"ABEV3","ON","2020-12-21","0,0767","1,0","DIVIDENDO","2021-01-13","2021-01-13","16,17","1,0","0,474335","2021-01-13T00:00:00"
"ABEV3","ON","2021-12-09","0,1334","1,0","DIVIDENDO","2021-12-17","2021-12-17","16,07","1,0","0,830118","2021-12-17T00:00:00"
